仓库,仓库类型,货主,货品ID,货品编号,货品名称,装帧形式,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,可维修数量,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,572370,9787121456527,零基础英语,盒装,192,1508,HZ9787121456527,（盒子）零基础英语,192,634.21,9.31,2026-08-07 10:34:50
武清仓,维修库位,智能内容,584125,9787556521654,Reading A-Z美国小学同步阅读. 2级(2023)下,盒装,192,994,HZ9787556521654,（盒子）Reading A-Z美国小学同步阅读. 2级(2023)下,192,634.32,18.0,2026-08-07 10:34:50
武清仓,维修库位,智能内容,500781,9787510686238,学而思秘籍小学数学思维培养11级（智能教辅）,盒装,188,400,HZ9787510686238,(盒子)学而思秘籍小学数学思维培养11级（智能教辅）,188,636.0,43.5,2026-08-07 10:34:50
武清仓,维修库位,智能内容,584124,9787556521647,Reading A-Z美国小学同步阅读. 1级(2023)下,盒装,176,826,HZ9787556521647,（盒子）Reading A-Z美国小学同步阅读. 1级(2023)下,176,636.0,8.44,2026-08-07 10:34:50
武清仓,维修库位,智能内容,584127,9787556521678,Reading A-Z美国小学同步阅读. 4级(2023)下,盒装,127,457,HZ9787556521678,（盒子）Reading A-Z美国小学同步阅读. 4级(2023)下,127,636.0,11.03,2026-08-07 10:34:50
武清仓,维修库位,智能内容,584128,9787556521685,Reading A-Z美国小学同步阅读. 5级(2023)下,盒装,125,428,HZ9787556521685,（盒子）Reading A-Z美国小学同步阅读. 5级(2023)下,125,636.0,14.28,2026-08-07 10:34:50
武清仓,维修库位,智能内容,500780,9787510686245,学而思秘籍小学数学思维培养12级（智能教辅）,盒装,111,213,HZ9787510686245,(盒子)学而思秘籍小学数学思维培养12级（智能教辅）,111,636.0,33.98,2026-08-07 10:34:50
武清仓,维修库位,智能内容,589528,9787556521708,Reading A-Z美国小学同步阅读. 7级(2023)下,盒装,107,765,HZ9787556521708,（盒子）Reading A-Z美国小学同步阅读. 7级(2023)下,107,636.0,16.43,2026-08-07 10:34:50
武清仓,维修库位,智能内容,584126,9787556521661,Reading A-Z美国小学同步阅读. 3级(2023)下,盒装,104,466,HZ9787556521661,（盒子）Reading A-Z美国小学同步阅读. 3级(2023)下,104,636.0,10.54,2026-08-07 10:34:50
武清仓,维修库位,智能内容,584132,9787556521739,Reading A-Z美国小学同步阅读. 10级(2023)下,盒装,88,300,HZ9787556521739,（盒子）Reading A-Z美国小学同步阅读. 10级(2023)下,88,634.52,12.17,2026-08-07 10:34:50
武清仓,维修库位,智能内容,649833,9787501267590,迪士尼英语1级,盒装,82,298,HZ9787501267590,（盒子）迪士尼英语1级,82,636.0,21.77,2026-08-07 10:34:50
武清仓,维修库位,智能内容,584129,9787556521692,Reading A-Z美国小学同步阅读. 6级(2023)下,盒装,79,489,HZ9787556521692,（盒子）Reading A-Z美国小学同步阅读. 6级(2023)下,79,636.0,8.87,2026-08-07 10:34:50
武清仓,维修库位,智能内容,658995,9787550521841,小学数学思维培养4级（智能教辅2024新）,盒装,78,276,HZ9787550521841,(盒子)小学数学思维培养4级（智能教辅2024新）,78,634.0,14.47,2026-08-07 10:34:50
武清仓,维修库位,智能内容,584130,9787556521715,Reading A-Z美国小学同步阅读. 8级(2023)下,盒装,76,449,HZ9787556521715,（盒子）Reading A-Z美国小学同步阅读. 8级(2023)下,76,636.0,10.69,2026-08-07 10:34:50
武清仓,维修库位,智能内容,584131,9787556521722,Reading A-Z美国小学同步阅读. 9级(2023)下,盒装,71,505,HZ9787556521722,（盒子）Reading A-Z美国小学同步阅读. 9级(2023)下,71,635.3,9.54,2026-08-07 10:34:50
武清仓,维修库位,智能内容,533731,9787513822879,Hello English Readers分级阅读1级（上）,盒装,68,258,HZ9787513822879,(盒子)Hello English Readers分级阅读1级（上）,68,636.0,185.45,2026-08-07 10:34:50
武清仓,维修库位,智能内容,595376,9787572271366,摩比爱数学 探索篇 智能版,盒装,64,219,HZ9787572271366,（盒子）摩比爱数学 探索篇 智能版,64,635.17,25.49,2026-08-07 10:34:50
武清仓,维修库位,智能内容,658997,9787550521858,小学数学思维培养3级（智能教辅2024新）,盒装,64,202,HZ9787550521858,(盒子)小学数学思维培养3级（智能教辅2024新）,64,634.02,16.84,2026-08-07 10:34:50
武清仓,维修库位,智能内容,500787,9787510686177,学而思秘籍小学数学思维培养5级（智能教辅）,盒装,62,350,HZ9787510686177,(盒子)学而思秘籍小学数学思维培养5级（智能教辅2024）,62,636.0,199.29,2026-08-07 10:34:50
武清仓,维修库位,智能内容,658996,9787550521810,小学数学思维培养7级（智能教辅2024新）,盒装,60,658,HZ9787550521810,(盒子)小学数学思维培养7级（智能教辅2024新）,60,562.05,12.3,2026-08-07 10:34:50
武清仓,维修库位,智能内容,658994,9787550521803,小学数学思维培养6级（智能教辅2024新）,盒装,58,787,HZ9787550521803,(盒子)小学数学思维培养6级（智能教辅2024新）,58,634.0,23.51,2026-08-07 10:34:50
武清仓,维修库位,智能内容,537645,9787572237287,小学英语周周学 2级 上册,盒装,46,790,HZ9787572237287,(盒子)小学英语周周学 2级 上册,46,634.04,26.2,2026-08-07 10:34:50
武清仓,维修库位,智能内容,537649,9787572237324,小学英语周周学 6级 上册,盒装,45,1450,HZ9787572237324,(盒子)小学英语周周学 6级 上册,45,634.04,34.62,2026-08-07 10:34:50
武清仓,维修库位,智能内容,537661,9787572247316,剑桥英语周周学3级下册,盒装,42,1466,HZ9787572247316,(盒子)剑桥英语周周学3级下册,42,634.05,22.63,2026-08-07 10:34:50
武清仓,维修库位,智能内容,500756,9787510686634,小学数学周周学一年级上册,盒装,50,40,HZ9787510686634,(盒子)小学数学周周学一年级上册,40,636.0,9.49,2026-08-07 10:34:50
武清仓,维修库位,智能内容,500776,9787510687327,学而思秘籍小学语文阅读与写作 3级（智能教辅）,盒装,39,672,HZ9787510687327,(盒子)学而思秘籍小学语文阅读与写作 3级（智能教辅）,39,636.0,29.5,2026-08-07 10:34:50
武清仓,维修库位,智能内容,649834,9787501267583,迪士尼英语2级,盒装,39,684,HZ9787501267583,（盒子）迪士尼英语2级,39,636.0,28.31,2026-08-07 10:34:50
武清仓,维修库位,智能内容,573116,9787551828932,看图写话方法课,盒装,36,292,HZ9787551828932,（盒子）看图写话方法课,36,634.0,11.06,2026-08-07 10:34:50
