仓库,仓库类型,货主,货品ID,货品编号,货品名称,装帧形式,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,可维修数量,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,663169,9787830125165,摩比爱识字（2024）,盒装,217,519,HZ9787830125165,（盒子）摩比爱识字（2024）,217,615.09,9.26,2026-07-19 10:33:53
武清仓,维修库位,智能内容,584125,9787556521654,Reading A-Z美国小学同步阅读. 2级(2023)下,盒装,209,994,HZ9787556521654,（盒子）Reading A-Z美国小学同步阅读. 2级(2023)下,209,615.29,19.99,2026-07-19 10:33:53
武清仓,维修库位,智能内容,500781,9787510686238,学而思秘籍小学数学思维培养11级（智能教辅）,盒装,188,400,HZ9787510686238,(盒子)学而思秘籍小学数学思维培养11级（智能教辅）,188,617.0,41.99,2026-07-19 10:33:53
武清仓,维修库位,智能内容,584124,9787556521647,Reading A-Z美国小学同步阅读. 1级(2023)下,盒装,177,826,HZ9787556521647,（盒子）Reading A-Z美国小学同步阅读. 1级(2023)下,177,617.0,8.42,2026-07-19 10:33:53
武清仓,维修库位,智能内容,664627,9787545922950,初中物理思维提升  1级(2024),盒装,177,300,HZ9787545922950,(盒子)初中物理思维提升  1级(2024),177,576.54,21.35,2026-07-19 10:33:53
武清仓,维修库位,智能内容,572370,9787121456527,零基础英语,盒装,167,1508,HZ9787121456527,（盒子）零基础英语,167,615.25,7.64,2026-07-19 10:33:53
武清仓,维修库位,智能内容,584127,9787556521678,Reading A-Z美国小学同步阅读. 4级(2023)下,盒装,145,457,HZ9787556521678,（盒子）Reading A-Z美国小学同步阅读. 4级(2023)下,145,617.0,13.1,2026-07-19 10:33:53
武清仓,维修库位,智能内容,584128,9787556521685,Reading A-Z美国小学同步阅读. 5级(2023)下,盒装,136,428,HZ9787556521685,（盒子）Reading A-Z美国小学同步阅读. 5级(2023)下,136,617.0,15.45,2026-07-19 10:33:53
武清仓,维修库位,智能内容,584126,9787556521661,Reading A-Z美国小学同步阅读. 3级(2023)下,盒装,135,466,HZ9787556521661,（盒子）Reading A-Z美国小学同步阅读. 3级(2023)下,135,617.0,14.45,2026-07-19 10:33:53
武清仓,维修库位,智能内容,589528,9787556521708,Reading A-Z美国小学同步阅读. 7级(2023)下,盒装,131,765,HZ9787556521708,（盒子）Reading A-Z美国小学同步阅读. 7级(2023)下,131,617.0,20.79,2026-07-19 10:33:53
武清仓,维修库位,智能内容,500780,9787510686245,学而思秘籍小学数学思维培养12级（智能教辅）,盒装,113,213,HZ9787510686245,(盒子)学而思秘籍小学数学思维培养12级（智能教辅）,113,617.0,34.01,2026-07-19 10:33:53
武清仓,维修库位,智能内容,664642,9787550522022,学而思秘籍初中数学思维提升3级(智能教辅2024),盒装,104,200,HZ9787550522022,(盒子)学而思秘籍初中数学思维提升3级(2024),104,552.38,46.57,2026-07-19 10:33:53
武清仓,维修库位,智能内容,584132,9787556521739,Reading A-Z美国小学同步阅读. 10级(2023)下,盒装,103,300,HZ9787556521739,（盒子）Reading A-Z美国小学同步阅读. 10级(2023)下,103,615.45,13.47,2026-07-19 10:33:53
武清仓,维修库位,智能内容,584130,9787556521715,Reading A-Z美国小学同步阅读. 8级(2023)下,盒装,100,449,HZ9787556521715,（盒子）Reading A-Z美国小学同步阅读. 8级(2023)下,100,617.0,14.2,2026-07-19 10:33:53
武清仓,维修库位,智能内容,584129,9787556521692,Reading A-Z美国小学同步阅读. 6级(2023)下,盒装,97,489,HZ9787556521692,（盒子）Reading A-Z美国小学同步阅读. 6级(2023)下,97,617.0,11.32,2026-07-19 10:33:53
武清仓,维修库位,智能内容,664641,9787550522015,学而思秘籍初中数学思维提升2级(智能教辅2024),盒装,91,205,HZ9787550522015,(盒子)学而思秘籍初中数学思维提升2级(2024),91,613.7,71.84,2026-07-19 10:33:53
武清仓,维修库位,智能内容,584131,9787556521722,Reading A-Z美国小学同步阅读. 9级(2023)下,盒装,83,505,HZ9787556521722,（盒子）Reading A-Z美国小学同步阅读. 9级(2023)下,83,616.11,11.2,2026-07-19 10:33:53
武清仓,维修库位,智能内容,649833,9787501267590,迪士尼英语1级,盒装,78,298,HZ9787501267590,（盒子）迪士尼英语1级,78,617.0,19.77,2026-07-19 10:33:53
武清仓,维修库位,智能内容,533731,9787513822879,Hello English Readers分级阅读1级（上）,盒装,68,258,HZ9787513822879,(盒子)Hello English Readers分级阅读1级（上）,68,617.0,66.52,2026-07-19 10:33:53
