仓库,仓库类型,货主,货品ID,货品编号,货品名称,装帧形式,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,可维修数量,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,663169,9787830125165,摩比爱识字（2024）,盒装,256,519,HZ9787830125165,（盒子）摩比爱识字（2024）,256,624.74,11.23,2026-07-30 11:07:06
武清仓,维修库位,智能内容,584125,9787556521654,Reading A-Z美国小学同步阅读. 2级(2023)下,盒装,202,994,HZ9787556521654,（盒子）Reading A-Z美国小学同步阅读. 2级(2023)下,202,626.3,18.96,2026-07-30 11:07:06
武清仓,维修库位,智能内容,664627,9787545922950,初中物理思维提升  1级(2024),盒装,190,300,HZ9787545922950,(盒子)初中物理思维提升  1级(2024),190,579.43,22.62,2026-07-30 11:07:06
武清仓,维修库位,智能内容,500781,9787510686238,学而思秘籍小学数学思维培养11级（智能教辅）,盒装,188,400,HZ9787510686238,(盒子)学而思秘籍小学数学思维培养11级（智能教辅）,188,628.0,43.05,2026-07-30 11:07:06
武清仓,维修库位,智能内容,584124,9787556521647,Reading A-Z美国小学同步阅读. 1级(2023)下,盒装,187,826,HZ9787556521647,（盒子）Reading A-Z美国小学同步阅读. 1级(2023)下,187,628.0,9.01,2026-07-30 11:07:06
武清仓,维修库位,智能内容,572370,9787121456527,零基础英语,盒装,183,1508,HZ9787121456527,（盒子）零基础英语,183,626.22,8.76,2026-07-30 11:07:06
武清仓,维修库位,智能内容,584127,9787556521678,Reading A-Z美国小学同步阅读. 4级(2023)下,盒装,138,457,HZ9787556521678,（盒子）Reading A-Z美国小学同步阅读. 4级(2023)下,138,628.0,12.53,2026-07-30 11:07:06
武清仓,维修库位,智能内容,584128,9787556521685,Reading A-Z美国小学同步阅读. 5级(2023)下,盒装,132,428,HZ9787556521685,（盒子）Reading A-Z美国小学同步阅读. 5级(2023)下,132,628.0,15.37,2026-07-30 11:07:06
武清仓,维修库位,智能内容,589528,9787556521708,Reading A-Z美国小学同步阅读. 7级(2023)下,盒装,128,765,HZ9787556521708,（盒子）Reading A-Z美国小学同步阅读. 7级(2023)下,128,628.0,20.43,2026-07-30 11:07:06
武清仓,维修库位,智能内容,584126,9787556521661,Reading A-Z美国小学同步阅读. 3级(2023)下,盒装,119,466,HZ9787556521661,（盒子）Reading A-Z美国小学同步阅读. 3级(2023)下,119,628.0,12.48,2026-07-30 11:07:06
武清仓,维修库位,智能内容,500780,9787510686245,学而思秘籍小学数学思维培养12级（智能教辅）,盒装,110,213,HZ9787510686245,(盒子)学而思秘籍小学数学思维培养12级（智能教辅）,110,628.0,33.45,2026-07-30 11:07:06
武清仓,维修库位,智能内容,664642,9787550522022,学而思秘籍初中数学思维提升3级(智能教辅2024),盒装,104,200,HZ9787550522022,(盒子)学而思秘籍初中数学思维提升3级(2024),104,563.38,45.66,2026-07-30 11:07:06
武清仓,维修库位,智能内容,584132,9787556521739,Reading A-Z美国小学同步阅读. 10级(2023)下,盒装,94,300,HZ9787556521739,（盒子）Reading A-Z美国小学同步阅读. 10级(2023)下,94,626.49,13.06,2026-07-30 11:07:06
武清仓,维修库位,智能内容,584130,9787556521715,Reading A-Z美国小学同步阅读. 8级(2023)下,盒装,93,449,HZ9787556521715,（盒子）Reading A-Z美国小学同步阅读. 8级(2023)下,93,628.0,13.46,2026-07-30 11:07:06
武清仓,维修库位,智能内容,584129,9787556521692,Reading A-Z美国小学同步阅读. 6级(2023)下,盒装,92,489,HZ9787556521692,（盒子）Reading A-Z美国小学同步阅读. 6级(2023)下,92,628.0,10.64,2026-07-30 11:07:06
武清仓,维修库位,智能内容,664641,9787550522015,学而思秘籍初中数学思维提升2级(智能教辅2024),盒装,92,205,HZ9787550522015,(盒子)学而思秘籍初中数学思维提升2级(2024),92,624.6,75.96,2026-07-30 11:07:06
武清仓,维修库位,智能内容,595376,9787572271366,摩比爱数学 探索篇 智能版,盒装,82,219,HZ9787572271366,（盒子）摩比爱数学 探索篇 智能版,82,626.91,35.83,2026-07-30 11:07:06
