仓库,仓库类型,货主,货品ID,货品编号,货品名称,装帧形式,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,可维修数量,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,663169,9787830125165,摩比爱识字（2024）,盒装,215,519,HZ9787830125165,（盒子）摩比爱识字（2024）,215,614.13,9.21,2026-07-18 10:56:02
武清仓,维修库位,智能内容,584125,9787556521654,Reading A-Z美国小学同步阅读. 2级(2023)下,盒装,207,994,HZ9787556521654,（盒子）Reading A-Z美国小学同步阅读. 2级(2023)下,207,614.29,19.9,2026-07-18 10:56:02
武清仓,维修库位,智能内容,500781,9787510686238,学而思秘籍小学数学思维培养11级（智能教辅）,盒装,188,400,HZ9787510686238,(盒子)学而思秘籍小学数学思维培养11级（智能教辅）,188,616.0,41.99,2026-07-18 10:56:02
武清仓,维修库位,智能内容,664627,9787545922950,初中物理思维提升  1级(2024),盒装,176,300,HZ9787545922950,(盒子)初中物理思维提升  1级(2024),176,576.21,21.23,2026-07-18 10:56:02
武清仓,维修库位,智能内容,584124,9787556521647,Reading A-Z美国小学同步阅读. 1级(2023)下,盒装,175,826,HZ9787556521647,（盒子）Reading A-Z美国小学同步阅读. 1级(2023)下,175,616.0,8.36,2026-07-18 10:56:02
武清仓,维修库位,智能内容,572370,9787121456527,零基础英语,盒装,165,1508,HZ9787121456527,（盒子）零基础英语,165,614.25,7.57,2026-07-18 10:56:02
武清仓,维修库位,智能内容,584127,9787556521678,Reading A-Z美国小学同步阅读. 4级(2023)下,盒装,144,457,HZ9787556521678,（盒子）Reading A-Z美国小学同步阅读. 4级(2023)下,144,616.0,13.22,2026-07-18 10:56:02
武清仓,维修库位,智能内容,584128,9787556521685,Reading A-Z美国小学同步阅读. 5级(2023)下,盒装,135,428,HZ9787556521685,（盒子）Reading A-Z美国小学同步阅读. 5级(2023)下,135,616.0,15.64,2026-07-18 10:56:02
武清仓,维修库位,智能内容,584126,9787556521661,Reading A-Z美国小学同步阅读. 3级(2023)下,盒装,134,466,HZ9787556521661,（盒子）Reading A-Z美国小学同步阅读. 3级(2023)下,134,616.0,14.34,2026-07-18 10:56:02
武清仓,维修库位,智能内容,589528,9787556521708,Reading A-Z美国小学同步阅读. 7级(2023)下,盒装,130,765,HZ9787556521708,（盒子）Reading A-Z美国小学同步阅读. 7级(2023)下,130,616.0,21.16,2026-07-18 10:56:02
武清仓,维修库位,智能内容,500780,9787510686245,学而思秘籍小学数学思维培养12级（智能教辅）,盒装,113,213,HZ9787510686245,(盒子)学而思秘籍小学数学思维培养12级（智能教辅）,113,616.0,34.01,2026-07-18 10:56:02
武清仓,维修库位,智能内容,664642,9787550522022,学而思秘籍初中数学思维提升3级(智能教辅2024),盒装,103,200,HZ9787550522022,(盒子)学而思秘籍初中数学思维提升3级(2024),103,551.83,45.89,2026-07-18 10:56:02
武清仓,维修库位,智能内容,584132,9787556521739,Reading A-Z美国小学同步阅读. 10级(2023)下,盒装,102,300,HZ9787556521739,（盒子）Reading A-Z美国小学同步阅读. 10级(2023)下,102,614.45,13.64,2026-07-18 10:56:02
武清仓,维修库位,智能内容,584130,9787556521715,Reading A-Z美国小学同步阅读. 8级(2023)下,盒装,99,449,HZ9787556521715,（盒子）Reading A-Z美国小学同步阅读. 8级(2023)下,99,616.0,14.37,2026-07-18 10:56:02
武清仓,维修库位,智能内容,584129,9787556521692,Reading A-Z美国小学同步阅读. 6级(2023)下,盒装,95,489,HZ9787556521692,（盒子）Reading A-Z美国小学同步阅读. 6级(2023)下,95,616.0,11.31,2026-07-18 10:56:02
武清仓,维修库位,智能内容,664641,9787550522015,学而思秘籍初中数学思维提升2级(智能教辅2024),盒装,91,205,HZ9787550522015,(盒子)学而思秘籍初中数学思维提升2级(2024),91,612.7,71.84,2026-07-18 10:56:02
武清仓,维修库位,智能内容,584131,9787556521722,Reading A-Z美国小学同步阅读. 9级(2023)下,盒装,82,505,HZ9787556521722,（盒子）Reading A-Z美国小学同步阅读. 9级(2023)下,82,615.12,11.35,2026-07-18 10:56:02
武清仓,维修库位,智能内容,649833,9787501267590,迪士尼英语1级,盒装,78,298,HZ9787501267590,（盒子）迪士尼英语1级,78,616.0,19.72,2026-07-18 10:56:02
武清仓,维修库位,智能内容,533731,9787513822879,Hello English Readers分级阅读1级（上）,盒装,68,258,HZ9787513822879,(盒子)Hello English Readers分级阅读1级（上）,68,616.0,66.52,2026-07-18 10:56:02
武清仓,维修库位,智能内容,595376,9787572271366,摩比爱数学 探索篇 智能版,盒装,68,219,HZ9787572271366,（盒子）摩比爱数学 探索篇 智能版,68,615.1,31.88,2026-07-18 10:56:02
武清仓,维修库位,智能内容,658995,9787550521841,小学数学思维培养4级（智能教辅2024新）,盒装,64,276,HZ9787550521841,(盒子)小学数学思维培养4级（智能教辅2024新）,64,614.0,15.74,2026-07-18 10:56:02
武清仓,维修库位,智能内容,500787,9787510686177,学而思秘籍小学数学思维培养5级（智能教辅）,盒装,61,350,HZ9787510686177,(盒子)学而思秘籍小学数学思维培养5级（智能教辅2024）,61,616.0,11.88,2026-07-18 10:56:02
武清仓,维修库位,智能内容,658997,9787550521858,小学数学思维培养3级（智能教辅2024新）,盒装,55,202,HZ9787550521858,(盒子)小学数学思维培养3级（智能教辅2024新）,55,614.02,15.05,2026-07-18 10:56:02
武清仓,维修库位,智能内容,658994,9787550521803,小学数学思维培养6级（智能教辅2024新）,盒装,48,787,HZ9787550521803,(盒子)小学数学思维培养6级（智能教辅2024新）,48,614.0,20.97,2026-07-18 10:56:02
