仓库,仓库类型,货主,货品ID,货品编号,货品名称,装帧形式,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,可维修数量,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,789653,9787548963806,小初语法漫画学练,,1947,0,,,1947,64.07,13.97,2026-07-17 18:47:26
武清仓,维修库位,智能内容,569620,9787551167239,10分钟七大能力全脑开发练习册 3-4岁,,575,0,,,575,613.07,16.44,2026-07-17 18:47:26
武清仓,维修库位,智能内容,799096,ZNNR260407101,幼小衔接第一步·一日一练（全4册）,,551,0,,,551,38.79,20.13,2026-07-17 18:47:26
武清仓,维修库位,智能内容,595502,9787218170008,初中英语语法：中考考频分区速学,,480,0,,,480,611.32,8.38,2026-07-17 18:47:26
武清仓,维修库位,智能内容,699964,9787571651954,每天15分钟 七年级计算,,444,0,,,444,299.88,9.5,2026-07-17 18:47:26
武清仓,维修库位,智能内容,654159,9787548956815,摩比爱成语,,428,0,,,428,613.0,9.07,2026-07-17 18:47:26
武清仓,维修库位,智能内容,691192,9787550524033,零基础奥数,,356,0,,,356,384.59,16.03,2026-07-17 18:47:26
武清仓,维修库位,智能内容,569621,9787551167246,10分钟七大能力全脑开发练习册 4-5岁,,345,0,,,345,613.12,11.72,2026-07-17 18:47:26
武清仓,维修库位,Learn and Play,674287,9787540893590,英语天天练小学核心1000词 （书号版）,,242,0,,,242,415.0,410.94,2026-07-17 18:47:26
武清仓,维修库位,智能内容,569622,9787551167253,10分钟七大能力全脑开发练习册 5-6岁,,230,0,,,230,613.17,8.39,2026-07-17 18:47:26
武清仓,维修库位,智能内容,694421,9787550524064,小学数学思维培养3级（智能教辅2025）,,218,0,,,218,394.89,15.56,2026-07-17 18:47:26
武清仓,维修库位,智能内容,694420,9787550524040,小学数学思维培养2级（智能教辅2025）,,203,0,,,203,397.39,14.48,2026-07-17 18:47:26
武清仓,维修库位,智能内容,664627,9787545922950,初中物理思维提升  1级(2024),,194,300,HZ9787545922950,(盒子)初中物理思维提升  1级(2024),194,564.15,24.18,2026-07-17 18:47:26
武清仓,维修库位,智能内容,584125,9787556521654,Reading A-Z美国小学同步阅读. 2级(2023)下,,193,994,HZ9787556521654,（盒子）Reading A-Z美国小学同步阅读. 2级(2023)下,193,613.32,18.86,2026-07-17 18:47:26
武清仓,维修库位,智能内容,500781,9787510686238,学而思秘籍小学数学思维培养11级（智能教辅）,,188,400,HZ9787510686238,(盒子)学而思秘籍小学数学思维培养11级（智能教辅）,188,615.0,41.99,2026-07-17 18:47:26
武清仓,维修库位,智能内容,724866,9787550525863,小学数学思维培养 5级 （智能教辅2025）,,185,0,,,185,163.7,22.23,2026-07-17 18:47:26
武清仓,维修库位,智能内容,654539,9787551172158,30天拼音拼读速记（全2册）,,176,0,,,176,613.26,15.33,2026-07-17 18:47:26
武清仓,维修库位,智能内容,724867,9787550525818,小学数学思维培养 6级 （智能教辅2025）,,172,0,,,172,177.12,19.97,2026-07-17 18:47:26
武清仓,维修库位,智能内容,663169,9787830125165,摩比爱识字（2024）,,171,519,HZ9787830125165,（盒子）摩比爱识字（2024）,171,613.23,7.53,2026-07-17 18:47:26
武清仓,维修库位,智能内容,584124,9787556521647,Reading A-Z美国小学同步阅读. 1级(2023)下,,170,826,HZ9787556521647,（盒子）Reading A-Z美国小学同步阅读. 1级(2023)下,170,615.0,8.15,2026-07-17 18:47:26
武清仓,维修库位,智能内容,664640,9787550521797,学而思秘籍初中数学思维提升1级(智能教辅2024),,167,0,,,167,600.95,21.11,2026-07-17 18:47:26
武清仓,维修库位,智能内容,572370,9787121456527,零基础英语,,164,1508,HZ9787121456527,（盒子）零基础英语,164,613.25,7.52,2026-07-17 18:47:26
武清仓,维修库位,智能内容,569629,9787830123994,摩比玩出专注力,,161,0,,,161,608.46,2.77,2026-07-17 18:47:26
武清仓,维修库位,智能内容,724868,9787550525825,小学数学思维培养 7级 （智能教辅2025）,,159,0,,,159,154.25,21.01,2026-07-17 18:47:26
武清仓,维修库位,智能内容,652265,9787510686177B,学而思秘籍小学数学思维培养5级（智能教辅2024）,,155,0,,,155,613.0,41.77,2026-07-17 18:47:26
武清仓,维修库位,智能内容,655032,9787550521582,思维导图速记1000字（全3册）,,149,0,,,149,613.01,10.17,2026-07-17 18:47:26
武清仓,维修库位,智能内容,694422,9787550524057,小学数学思维培养4级（智能教辅2025）,,146,0,,,146,399.12,11.42,2026-07-17 18:47:26
武清仓,维修库位,智能内容,662621,9787550522084,小学数学思维培养3级(2024新),,143,0,,,143,590.46,8.84,2026-07-17 18:47:26
武清仓,维修库位,智能内容,672860,9787550522732,小学数学思维培养11级（智能教辅2024新）,,143,0,,,143,462.28,24.99,2026-07-17 18:47:26
武清仓,维修库位,智能内容,672861,9787550522770,小学数学思维培养12级（智能教辅2024新）,,141,0,,,141,292.67,36.36,2026-07-17 18:47:26
武清仓,维修库位,智能内容,687245,9787548960317,摩比数学玩具·逻辑世界之旅,,138,0,,,138,396.35,116.07,2026-07-17 18:47:26
武清仓,维修库位,智能内容,723831,9787572271373B,摩比爱数学 探索篇（新国标一书一码版）,,133,0,,,133,222.97,7.43,2026-07-17 18:47:26
