仓库,仓库类型,货主,货品ID,货品编号,货品名称,装帧形式,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,可维修数量,平均库龄,周转天数,同步时间
黄陂仓,维修库位,智能内容,572876,ZNNR20230607102,哈佛外教英语启蒙 第二级,盒装,18,65,HZZNNR20230607102,（盒子）哈佛外教英语启蒙 第二级,18,117.72,13.85,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,546437,20221221001,文言四宝 中考文言文满分宝盒,盒装,9,130,HZ20221221001,(盒子)文言四宝 中考文言文满分宝盒,9,171.33,4.43,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,572881,9787551828949,小学作文方法课,盒装,9,103,HZ9787551828949,(盒子)小学作文方法课,9,49.67,10.25,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,581065,6973473321405,阅读理解方法课,盒装,4,152,HZ6973473321405,(盒子)阅读理解方法课,4,171.0,0.8,2026-07-31 10:34:33
黄陂仓,维修库位,培优学习机,724923,PY250923101,学习机充电插头（利旧）,,2900,0,,,2900,157.0,0,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,595502,9787218170008,初中英语语法：中考考频分区速学,平装,1102,0,,,1102,92.22,9.68,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,569620,9787551167239,10分钟七大能力全脑开发练习册 3-4岁,平装,615,0,,,615,162.67,14.27,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,789653,9787548963806,小初语法漫画学练,平装,582,0,,,582,84.51,1.85,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,789654,9787548963714,小初语法必练1000题,平装,579,0,,,579,67.89,1.79,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,654159,9787548956815,摩比爱成语,平装,563,0,,,563,166.98,7.54,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,569621,9787551167246,10分钟七大能力全脑开发练习册 4-5岁,平装,531,0,,,531,163.53,16.27,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,796560,ZNNR260323103,快乐读书吧·四年级上册（全四册）（2026线上版）,平装,349,0,,,349,48.18,2.12,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,569622,9787551167253,10分钟七大能力全脑开发练习册 5-6岁,平装,283,0,,,283,154.6,12.39,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,710856,9787501270330,摩比爱数学飞跃篇上（2025版）,平装,234,0,,,234,112.09,43.97,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,710854,9787501270347,摩比爱数学探索篇上（2025版）,平装,220,0,,,220,91.66,36.73,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,710852,9787501270354,摩比爱数学萌芽篇上（2025版）,平装,213,0,,,213,133.36,32.71,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,796561,ZNNR260323104,快乐读书吧·五年级上册（全四册）（2026线上版）,平装,182,0,,,182,49.67,2.46,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,801723,9787548952329I,幼小衔接倒计时99天-26升级版（B版）,平装,176,0,,,176,43.38,3.67,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,723833,9787572271397B,摩比爱数学 萌芽篇（新国标一书一码版）,平装,170,0,,,170,161.68,35.92,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,723831,9787572271373B,摩比爱数学 探索篇（新国标一书一码版）,平装,169,0,,,169,166.19,36.74,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,655532,ZNNR20240528102,RAZ单词王点读大书,平装,166,0,,,166,179.7,6.31,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,723829,9787572271410C,摩比爱数学 飞跃篇（新国标一书一码版）,平装,160,0,,,160,147.24,34.45,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,678541,9787501624430,课堂笔记 语文四年级下册,平装,146,0,,,146,178.59,9.68,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,799310,9787548955924G,新标准.暑假预复习.一升二年级(2026),平装,141,0,,,141,39.45,0.7,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,725796,9787571646691,初中英语作文,平装,139,0,,,139,171.97,2.93,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,683627,9787830125790,英语晨读 读出英语基本功,平装,135,0,,,135,161.61,4.58,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,791167,9787830126575,摩比爱识字第一级（升级版）,平装,127,0,,,127,111.83,0.88,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,803766,9787557922597,暑假计算天天练 二升三年级,平装,116,0,,,116,46.64,2.32,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,699964,9787571651954,每天15分钟 七年级计算,平装,113,0,,,113,67.88,2.38,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,796559,ZNNR260323102,快乐读书吧·三年级上册（全3册）（2026线上版）,平装,112,0,,,112,50.78,1.25,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,793373,9787519921262,大声读必认字（升级版）,平装,106,0,,,106,94.5,2.57,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,710855,9787501270477,摩比爱数学探索篇下（2025版）,平装,102,0,,,102,161.18,33.63,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,725798,9787571646684,初中作文,平装,101,0,,,101,171.43,3.15,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,796556,9787519058517A,快乐读书吧·一年级上册·和大人一起读（全四册）（2026线上版）,平装,101,0,,,101,47.4,2.79,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,654106,9787548956808,小学生轻松日记,平装,89,0,,,89,109.71,8.12,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,796562,ZNNR260323105,快乐读书吧·六年级上册（全三册）（2026线上版）,平装,84,0,,,84,55.87,1.97,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,710857,9787501270491,摩比爱数学飞跃篇下（2025版）,平装,82,0,,,82,162.12,32.09,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,789405,9787548952329H,幼小衔接倒计时99天（2026版）,平装,79,0,,,79,158.65,1.26,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,654539,9787551172158,30天拼音拼读速记（全2册）,平装,71,0,,,71,176.49,3.36,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,791169,9787830126599,摩比爱识字第三级（升级版）,平装,71,0,,,71,118.08,0.8,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,578148,9787121459573,1000题刷透初中计算,平装,66,0,,,66,166.85,4.8,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,655032,9787550521582,思维导图速记1000字（全3册）,平装,65,0,,,65,175.75,4.21,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,710853,9787501270484,摩比爱数学萌芽篇下（2025版）,平装,61,0,,,61,166.1,22.78,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,799096,ZNNR260407101,幼小衔接第一步·一日一练（全4册）,平装,61,0,,,61,74.2,2.21,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,791168,9787830126582,摩比爱识字第二级（升级版）,平装,56,0,,,56,115.84,0.69,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,664557,9787548957607,摩比爱计算 飞跃篇（2024）,平装,53,0,,,53,168.81,10.15,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,682013,9787501624591A,课堂笔记 语文一年级下册（升级版）,平装,52,0,,,52,184.37,48.75,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,724392,9787519919986,大声读古诗美文,平装,52,0,,,52,151.58,1.82,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,697319,9787550525009,摩比分级数学启蒙绘本. 小班,平装,49,0,,,49,176.0,1.92,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,680284,9787550523654,单元归类复习. 小学语文六年级 下册,平装,48,0,,,48,39.62,6.69,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,799311,9787548955832G,新标准.暑假预复习.二升三年级(2026),平装,46,0,,,46,39.5,0.8,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,667604,9787830125301,大语文诵读 幼儿启蒙,平装,45,0,,,45,173.11,2.12,2026-07-31 10:34:33
黄陂仓,维修库位,智能内容,692431,9787550524187,课堂笔记 语文二年级上册,平装,43,0,,,43,57.72,16.9,2026-07-31 10:34:33
