仓库,仓库类型,货主,货品ID,货品编号,货品名称,装帧形式,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,可维修数量,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,584125,9787556521654,Reading A-Z美国小学同步阅读. 2级(2023)下,盒装,193,994,HZ9787556521654,（盒子）Reading A-Z美国小学同步阅读. 2级(2023)下,193,633.32,18.11,2026-08-06 11:04:45
武清仓,维修库位,智能内容,572370,9787121456527,零基础英语,盒装,192,1508,HZ9787121456527,（盒子）零基础英语,192,633.21,9.38,2026-08-06 11:04:45
武清仓,维修库位,智能内容,500781,9787510686238,学而思秘籍小学数学思维培养11级（智能教辅）,盒装,188,400,HZ9787510686238,(盒子)学而思秘籍小学数学思维培养11级（智能教辅）,188,635.0,43.5,2026-08-06 11:04:45
武清仓,维修库位,智能内容,584124,9787556521647,Reading A-Z美国小学同步阅读. 1级(2023)下,盒装,176,826,HZ9787556521647,（盒子）Reading A-Z美国小学同步阅读. 1级(2023)下,176,635.0,8.44,2026-08-06 11:04:45
武清仓,维修库位,智能内容,584127,9787556521678,Reading A-Z美国小学同步阅读. 4级(2023)下,盒装,127,457,HZ9787556521678,（盒子）Reading A-Z美国小学同步阅读. 4级(2023)下,127,635.0,11.02,2026-08-06 11:04:45
武清仓,维修库位,智能内容,584128,9787556521685,Reading A-Z美国小学同步阅读. 5级(2023)下,盒装,125,428,HZ9787556521685,（盒子）Reading A-Z美国小学同步阅读. 5级(2023)下,125,635.0,14.28,2026-08-06 11:04:45
武清仓,维修库位,智能内容,500780,9787510686245,学而思秘籍小学数学思维培养12级（智能教辅）,盒装,111,213,HZ9787510686245,(盒子)学而思秘籍小学数学思维培养12级（智能教辅）,111,635.0,33.86,2026-08-06 11:04:45
武清仓,维修库位,智能内容,589528,9787556521708,Reading A-Z美国小学同步阅读. 7级(2023)下,盒装,107,765,HZ9787556521708,（盒子）Reading A-Z美国小学同步阅读. 7级(2023)下,107,635.0,16.43,2026-08-06 11:04:45
武清仓,维修库位,智能内容,584126,9787556521661,Reading A-Z美国小学同步阅读. 3级(2023)下,盒装,104,466,HZ9787556521661,（盒子）Reading A-Z美国小学同步阅读. 3级(2023)下,104,635.0,10.54,2026-08-06 11:04:45
武清仓,维修库位,智能内容,584132,9787556521739,Reading A-Z美国小学同步阅读. 10级(2023)下,盒装,88,300,HZ9787556521739,（盒子）Reading A-Z美国小学同步阅读. 10级(2023)下,88,633.52,12.17,2026-08-06 11:04:45
武清仓,维修库位,智能内容,658995,9787550521841,小学数学思维培养4级（智能教辅2024新）,盒装,83,276,HZ9787550521841,(盒子)小学数学思维培养4级（智能教辅2024新）,83,633.0,15.53,2026-08-06 11:04:45
武清仓,维修库位,智能内容,649833,9787501267590,迪士尼英语1级,盒装,82,298,HZ9787501267590,（盒子）迪士尼英语1级,82,635.0,21.83,2026-08-06 11:04:45
武清仓,维修库位,智能内容,584129,9787556521692,Reading A-Z美国小学同步阅读. 6级(2023)下,盒装,79,489,HZ9787556521692,（盒子）Reading A-Z美国小学同步阅读. 6级(2023)下,79,635.0,8.87,2026-08-06 11:04:45
武清仓,维修库位,智能内容,584130,9787556521715,Reading A-Z美国小学同步阅读. 8级(2023)下,盒装,76,449,HZ9787556521715,（盒子）Reading A-Z美国小学同步阅读. 8级(2023)下,76,635.0,10.69,2026-08-06 11:04:45
武清仓,维修库位,智能内容,584131,9787556521722,Reading A-Z美国小学同步阅读. 9级(2023)下,盒装,72,505,HZ9787556521722,（盒子）Reading A-Z美国小学同步阅读. 9级(2023)下,72,634.28,9.69,2026-08-06 11:04:45
武清仓,维修库位,智能内容,533731,9787513822879,Hello English Readers分级阅读1级（上）,盒装,68,258,HZ9787513822879,(盒子)Hello English Readers分级阅读1级（上）,68,635.0,185.45,2026-08-06 11:04:45
武清仓,维修库位,智能内容,595376,9787572271366,摩比爱数学 探索篇 智能版,盒装,64,219,HZ9787572271366,（盒子）摩比爱数学 探索篇 智能版,64,634.17,25.49,2026-08-06 11:04:45
武清仓,维修库位,智能内容,658997,9787550521858,小学数学思维培养3级（智能教辅2024新）,盒装,63,202,HZ9787550521858,(盒子)小学数学思维培养3级（智能教辅2024新）,63,633.02,16.63,2026-08-06 11:04:45
