仓库,仓库类型,货主,货品ID,货品编号,货品名称,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,500752,9787510686658,小学数学周周学三年级上册RJ,40,0,,,613.0,7.91,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500753,9787510688287,小学语文周周学二年级上册,52,0,,,613.0,23.76,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500754,9787510686641,小学数学周周学二年级上册,57,0,,,613.0,10.96,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500755,9787510688270,小学语文周周学一年级上册,37,0,,,613.0,13.32,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500756,9787510686634,小学数学周周学一年级上册,43,40,HZ9787510686634,(盒子)小学数学周周学一年级上册,613.0,7.98,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500764,9787510687419,学而思秘籍小学语文阅读与写作 12级（智能教辅）,75,0,,,611.0,68.88,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500765,9787510687402,学而思秘籍小学语文阅读与写作 11级（智能教辅）,10,0,,,613.0,4.31,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500767,9787510687396,学而思秘籍小学语文阅读与写作 10级（智能教辅）,9,0,,,599.11,6.81,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500768,9787510687389,学而思秘籍小学语文阅读与写作 9级（智能教辅）,57,0,,,613.0,42.4,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500770,9787510687372,学而思秘籍小学语文阅读与写作 8级（智能教辅）,50,0,,,613.0,23.2,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500771,9787510687365,学而思秘籍小学语文阅读与写作 7级（智能教辅）,23,0,,,613.0,5.85,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500773,9787510687358,学而思秘籍小学语文阅读与写作 6级（智能教辅）,49,0,,,613.0,21.1,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500774,9787510687341,学而思秘籍小学语文阅读与写作 5级（智能教辅）,41,0,,,613.0,15.77,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500775,9787510687334,学而思秘籍小学语文阅读与写作 4级（智能教辅）,47,0,,,613.0,19.05,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500776,9787510687327,学而思秘籍小学语文阅读与写作 3级（智能教辅）,39,672,HZ9787510687327,(盒子)学而思秘籍小学语文阅读与写作 3级（智能教辅）,613.0,31.34,2026-07-15 17:57:35
